"day" "doy" "date" "year" "cpue" "ccpue" "p.ccpue"
23 174 "6/23" 1986 14.18 123.04 0.611895763
24 175 "6/24" 1986 13.44 136.48 0.678734832
25 176 "6/25" 1986 1.09 137.57 0.68415556
26 177 "6/26" 1986 5.4 142.97 0.711010543
27 178 "6/27" 1986 7.65 150.62 0.749055102
28 179 "6/28" 1986 0 150.62 0.749055102
29 180 "6/29" 1986 2.89 153.51 0.763427492
30 181 "6/30" 1986 2.83 156.34 0.777501492
31 182 "7/1" 1986 7.05 163.39 0.812562164
32 183 "7/2" 1986 5.56 168.95 0.840212851
33 184 "7/3" 1986 6.62 175.57 0.873135071
34 185 "7/4" 1986 3.08 178.65 0.888452357
35 186 "7/5" 1986 2.93 181.58 0.903023672
36 187 "7/6" 1986 1.43 183.01 0.91013527
37 188 "7/7" 1986 1.46 184.47 0.917396061
38 189 "7/8" 1986 4.25 188.72 0.938531928
39 190 "7/9" 1986 2.74 191.46 0.952158345
40 191 "7/10" 1986 0 191.46 0.952158345
41 192 "7/11" 1986 1.82 193.28 0.961209469
42 193 "7/12" 1986 0 193.28 0.961209469
43 194 "7/13" 1986 0 193.28 0.961209469
44 195 "7/14" 1986 1 194.28 0.966182614
45 196 "7/15" 1986 0 194.28 0.966182614
46 197 "7/16" 1986 0 194.28 0.966182614
47 198 "7/17" 1986 0 194.28 0.966182614
48 199 "7/18" 1986 0 194.28 0.966182614
49 200 "7/19" 1986 0 194.28 0.966182614
50 201 "7/20" 1986 0 194.28 0.966182614
51 202 "7/21" 1986 1.95 196.23 0.975880247
52 203 "7/22" 1986 1.95 198.18 0.985577879
53 204 "7/23" 1986 0 198.18 0.985577879
54 205 "7/24" 1986 2.9 201.08 1
55 206 "7/25" 1986 0 201.08 1
56 207 "7/26" 1986 0 201.08 1
57 208 "7/27" 1986 0 201.08 1
58 209 "7/28" 1986 0 201.08 1
59 210 "7/29" 1986 0 201.08 1
60 211 "7/30" 1986 0 201.08 1
61 212 "7/31" 1986 0 201.08 1
62 213 "8/1" 1986 0 201.08 1
63 214 "8/2" 1986 0 201.08 1
64 215 "8/3" 1986 0 201.08 1
65 216 "8/4" 1986 0 201.08 1
66 217 "8/5" 1986 0 201.08 1
